Ashiana Public School,"Chandigarh, Chandigarh - 160001, Sector-46 A","+(91)-172-2633772 , +(91)-9814900460 , 9872500460",http://www.ashianapublicschool.com,,3.9,"Schools , CBSE Schools , English Medium Schools"
Vivek High School,"Mohali, Chandigarh - 140901, Sec-70, Opp SBI","+(91)-160-4621747 , 4622747 , 4625747",,,4.0,"Schools , CBSE Schools , English Medium Schools"
Kendriya Vidyalaya Number 3,"Industrial Area Phase Ii, Chandigarh - 160002, B R D Air Force Station","+(91)-172-2655097 , +(91)-8427647874",,,5.0,"Schools , CBSE Schools , English Medium Schools , Hindi Medium Schools"
Doon International School,"Mohali Chandigarh, Chandigarh - 160059, Sector- 69","+(91)-172-2216700 , +(91)-9814111159 , 2217720 , 2216620",http://www.dooninternational.com,,4.4,"Schools , CBSE Schools , English Medium Schools"
Satluj Public School Senior Wing,"Panchkula Sec 4, Panchkula - 134112, Opposite Sector 4 Market","+(91)-172-2560167 , 2574885",http://www.satlujpublicschool.com,,4.5,"Schools , CBSE Schools , English Medium Schools"
Shemrock SR Sec School,"Plot No-2, sector 69, Mohali Sas Nagar, Mohali - 160055, Opposite Prime Heart Hospital, Sector-69","+(91)-172-4001234 , +(91)-9878650444 , 8968812345 , 4001243",http://www.shemrockschool.com,,4.2,"Schools , CBSE Schools , English Medium Schools"
Guru Nanak Public School,"Chandigarh, Chandigarh - 160001, Sector36d","+(91)-172-2605019 , 2601214",http://www.gnpschandigarh.com,,4.0,"Schools , CBSE Schools , English Medium Schools , School For Girls"
Shishu Niketan Model Senior secondary school,"Chandigarh Sector 22d, Chandigarh - 160022",+(91)-172-2704966,http://www.shishuniketanschool.com,,3.9,"Schools , CBSE Schools , English Medium Schools"
Saupins School,"Pl No - 14, Chandigarh, Chandigarh - 160038, Sector 32a ,Back Side General Hospital","+(91)-172-2606090 , 2664732",,,4.3,"Schools , CBSE Schools , English Medium Schools"
Chitkara International School,"Chandigarh, Chandigarh - 160047, Sector-25, Opposite Punjab University,","+(91)-172-6578444 , +(91)-8427229999 , 9501105722 , 6548966 , 4090900",http://www.chitkaraschool.in,,4.6,"Schools , CBSE Schools , English Medium Schools , Convent Schools"
Govt Model Sr Sec School,"Chandigarh, Chandigarh - 160038, Opposite Saint Peters School ,Sector-37-B",+(91)-172-2677005,,,4.6,"Schools , CBSE Schools , English Medium Schools"
Smart Wonders School,"Mohali Sas Nagar, Mohali - 160055, Near IVY Hospital, Sector 71","+(91)-172-2270063 , +(91)-9814833309 , 9855577304 , 2270064 , 2270065",http://www.smartwonderschool.com,,4.7,"Schools , English Medium Schools"
British School,"Chandigarh, Chandigarh - 160001, Sec-44 B","+(91)-172-4654000 , 4605000",http://www.thebritishschool.org,,4.1,"Schools , CBSE Schools , English Medium Schools"
Manav Mangal High School,"Chandigarh Sector 21c, Chandigarh - 160022","+(91)-172-5039040 , 5039039",,,4.7,"Schools , CBSE Schools , English Medium Schools"
KB DAV Senior Secondary Public School,"Chandigarh Sector 7b, Chandigarh - 160019","+(91)-172-2791496 , 2792433",http://www.kbdav.com,,2.0,Schools
Dav Public Sr Sec School,"Mohali SAS Nagar, Mohali - 160055, PH-10",+(91)-172-2232299,,,4.1,"Schools , CBSE Schools , English Medium Schools"
New Public School,"Chandigarh Sector 18, Chandigarh - 160018, Sector18b","+(91)-172-2774162 , 2774792 , 2724157 , 2724162",http://www.npschd.com,,4.4,"Schools , CBSE Schools , English Medium Schools"
St Soldier School,"Mohali SAS Nagar, Mohali - 160055, PH-7","+(91)-172-2270443 , 2268088 , 5099519",,,4.1,"Schools , English Medium Schools , Army Training Centres , Convent Schools"
Gurukul World School,"Mohali Sas Nagar, Mohali - 160055, Sohana, Sector-69, Near Shahidi Singh Gurudara","+(91)-172-2217900 , +(91)-8054017900 , 8054497002 , 2216666",http://www.gurukulworld.co.in,,4.9,"Schools , CBSE Schools , Boarding Schools , English Medium Schools , CBSE Boarding Schools"
Pandit Mohan Lal S D Public School,"Chandigarh Sector 32c, Chandigarh - 160047, Sec 32-C","+(91)-172-2609669 , 2615336",,,4.2,"Schools , CBSE Schools , English Medium Schools"
Kendriya Vidyalaya,"Sector-31 A F Depot Chandigarh, Chandigarh Sector 31, Chandigarh - 160030",+(91)-172-2530953,,,3.0,"Schools , CBSE Schools , English Medium Schools"
Government Model Senior Secondary School,"Chandigarh Sector 8b, Chandigarh - 160009, Opposite D A V School","+(91)-172-2700274 , +(91)-9815413436",,,4.3,"Schools , Coal Dealers"
BAL Niketan Model SR Sec School,"Chandigarh, Chandigarh - 160002, Sec-37a,Opp Minni Mkt,Bh Batra Cinema",+(91)-172-2697332,,,3.4,"Schools , CBSE Schools , English Medium Schools"
St Xaviers High School,"Panchkula, Panchkula - 134109, Sec-20",+(91)-172-2551844,,,3.9,"Schools , English Medium Schools , ICSE Schools"
Ryan International School,"Ryan International School, opposite indian school of business, Mohali Sas Nagar, Mohali - 160055, Se...","+(91)-172-6530639 , +(91)-9216845788",,,3.7,"Schools , CBSE Schools , English Medium Schools"
Doon Public School,"Panchkula, Panchkula - 134114, Sec-21","+(91)-172-2570897 , 2590514",http://www.doonpublicschoolpkl.com,,4.5,"Schools , CBSE Schools , English Medium Schools"
D.C.Model School,"DC Model School Site, Opp. Main Market, Panchkula Sector 8, Panchkula - 134109, Sector -7,Panchkula ...","+(91)-172-2596464 , +(91)-9417506265 , 9914503293",,,4.0,"Schools , CBSE Schools , English Medium Schools"
Dav Sr. Sec. School,"Sector 8,Panchkula, Panchkula Sector 8, Panchkula - 134109",+(91)-172-2567449,,,4.5,Schools
Guru Nanak Khalsa SR Sec School,"Chandigarh Sector 30b, Chandigarh - 160020","+(91)-172-2654993 , +(91)-9915720220 , 2654693 , 2654593",http://www.gnkschool.info,,3.8,"Schools , CBSE Schools , English Medium Schools"
S D Sec School,"Sector-24 Chandigarh, Sector-24 Chandigarh, Chandigarh - 160024",+(91)-172-2914512,,,3.2,"Schools , CBSE Schools , English Medium Schools"
Manav Mangal School,"Panchkula, Panchkula - 134114, Sec-11",+(91)-172-5066668,,,4.6,"Schools , CBSE Schools , English Medium Schools"
St Peters Senior Secondary School,"Chandigarh Sector 37b, Chandigarh - 160036, Opposite Government Model School",+(91)-172-2698800,http://www.stpetersschoolchd.in,,3.8,"Schools , CBSE Schools , English Medium Schools"
