Vinayaka Public School,"1st Mn Rd, Bagalur Crs, Vinayakanagar, Yelahanka, Bangalore - 560064, Bh. Nitesh Apartment",+(91)-80-33562824,,1997,3.9,"CBSE Schools , Schools , ICSE Schools , Kindergartens"
Global Residential School,"Hoskote, Bangalore - 562114, Near Industrial Area",+(91)-80-33562921,,2004,4.2,"Schools , ICSE Schools , Pre University Institutes , Boarding Schools , Schools State Syllabus , Boys Boarding Schools , Girls Boarding Schools , ICSE Boarding Schools"
Anikethana Public School,"No16, 3rd Cross,Kasturba Nagar,Ashwathkatte Road,Sirisi Circle, Mysore Road, Bangalore - 560026, Nea...",+(91)-80-39257917,,2010,5.0,"Schools , Summer Camps , Tutorials , Kindergartens , Abacus Classes , Montessori Schools , Schools State Syllabus , Tutorials For Class X , Public Schools , Sslc Tutorials , Nursery Schools , Activity Clubs , English Medium Schools , Tutorials For Sslc Kannada , Tutorials For Primary School , Tutorials Sslc Mathematics , Tutorials For Class VII Maths , Tutorials For Sslc Science , Schools Nursery To X"
Kidzee Itpl,"112, 3rd Cross, Prashanth Extension Layout, Itpl Road, Whitefield, Bangalore - 560066, Near Hope Far...",+(91)-80-33518806,http://www.kidzee.com,2014,4.4,"Schools , Kindergartens , Music Classes , Abacus Classes , Montessori Schools , Playgroups , Nursery Schools , Montessori International"
Baldwin Gurukula,"No.65, Virgonagar Post, Virgonagar, Bangalore - 560049, Garden City College",+(91)-80-30924527,http://www.baldwingurukula.com,2014,3.5,"Schools , ICSE Schools , Kindergartens , Montessori Schools , Schools State Syllabus , Nursery Schools , English Medium Schools"
G R Vidyadeep Education Society,"No 20, Dena Bank Colony,Bellary Road, Ganga Nagar Extension, Bangalore - 560032, Next Shell Petrol B...",+(91)-80-33910944,http://www.grveducationalsociety.org,2005,3.1,"Schools , Kindergartens , Montessori Schools , Schools State Syllabus , Nursery Schools , Schools Nursery To VII"
Growing Miracles Montessori,"No 75, 1st Crosss,Sahyadri Layout ,Panduranganagar, Bannerghatta Road, Bangalore - 560076, Behind Ad...",+(91)-80-33538913,http://www.growingmiracle.com,2009,4.9,"Schools , Kindergartens , Day Care Centres , Montessori Schools , International Schools , Playgroups , Baby Sitters , Baby Sitting At Home , Nursery Schools , Personality Development , Montessori International"
Narayana E-Techno School,"66/18` Sri muneshwara temple, Ayyappanagar,hoodi main road, Krishnarajapuram, Bangalore - 560016, Ne...",+(91)-80-33511481,http://www.narayanagroup.com,2013,3.7,"CBSE Schools , Schools , Pre University Institutes , Kindergartens , Abacus Classes , Montessori Schools , Nursery Schools , English Medium Schools , Montessori International , Schools Nursery To X"
St Marks Public School,"No.37, 1st Mn Rd,3rd Phs, Jp Nagar 3rd Phase, Bangalore - 560078",+(91)-80-39626562,http://www.stmarkspublicschool.com,,3.9,"Schools , ICSE Schools , Schools State Syllabus"
New Baldwin International Residential School,"No.128, Old Madras Road, Virgonagar, Bangalore - 560049, Near Budigere Cross Road",+(91)-80-39626872,http://www.newbaldwininstitutions.org,1990,4.0,"Schools , ICSE Schools , Boarding Schools , International Schools , Schools State Syllabus"
New Indus Valley Residential School,"Garden City College Road, Subhashnagar Post, Virgonagar, Bangalore - 560049, Near Bhattarahalli",+(91)-80-39628526,http://www.newindusvalley.com,2006,4.0,"Schools , ICSE Schools , Boarding Schools , Nursery Schools"
Oi Play School,"Plot No 774, 15 Th Cross, 1st Phase, J P Nagar, Bangalore - 560078, Near Shell Petrol Bunk",+(91)-80-33531782,http://www.oiplayschool.com,2013,3.0,"Schools , Kindergartens , Day Care Centres , Nursery Schools , Libraries For Children"
Diamond Stone International School,"Madivalam Cross,Nallur Road, Hosur, Attibele, Bangalore - 562107","+(91)-80-33539424 , +(91)-4344-312999",http://www.dsischool.com,2009,3.5,"CBSE Schools , Schools , ICSE Schools , Boarding Schools , Montessori Schools , International Schools , Schools State Syllabus , Public Schools , Nursery Schools , CBSE Boarding Schools , IGCSE Schools , English Medium Schools , ICSE Boarding Schools , Montessori International , Schools Nursery To VII , Schools Nursery To X"
South Side Junior Pre School,"No.477, 40th Cross 9th Main 5th Block, Jayanagar 5th Block, Bangalore - 560041, Near Adhishwar Elect...",+(91)-80-33536972,http://www.southsidejunior.com,2008,4.5,"Schools , Summer Camps , Kindergartens , Day Care Centres , Montessori Schools , Playgroups , Baby Sitters , Nursery Schools , Activity Clubs"
Maxwell Public School,"9th Main,1st Block, Hrbr Layout, Kalyan Nagar, Bangalore - 560043, Near Banaswadi Fire Station Road",+(91)-80-33563393,http://www.mpsedu.com,1992,3.8,"Schools , ICSE Schools"
Om Sri Narayana Charitable Foundation,"No.852/1, 7th A Main Banaswadi Main Road, Hrbr Layout, Bangalore - 560043, Opp Syndicate Bank",+(91)-80-39257264,,2002,3.5,"Schools , Summer Camps , Yoga Classes , Kindergartens , Schools State Syllabus , Yoga Classes For Ladies , Yoga Classes At Home , Nursery Schools , Power Yoga Classes , Meditation Classes , Yoga Classes For Gents , Summer Cricket Coaching Camp , Power Yoga Classes For Ladies , Yoga Classes For Children , Yoga Meditation Classes , Yoga Classes For Pregnant Women , Power Yoga For Ladies At Home , Power Yoga Classes At Home , Power Yoga Classes For Gents"
Samuel Public School,"No.14, T C Playa,Halehalli, Bhattarahalli, Bangalore - 560049, Behind Garden City College",+(91)-80-33518798,,2005,4.0,"Schools , ICSE Schools , Kindergartens , Music Classes , Abacus Classes , Montessori Schools , Schools State Syllabus , Arts & Crafts Classes , Public Schools , Painting Classes , Nursery Schools , English Medium Schools , Art Schools , Writing Creative , Montessori International , Institutes For BSc Biotechnology , Schools Nursery To X"
New Baldwins School ICSE KA 270,"Arkawathi Layout,Hennur Bagalur Main Road, Hennur Main Road, Bangalore - 560043",+(91)-80-39627545,http://www.newbaldwinschool.org,2002,3.4,"Schools , ICSE Schools , Kindergartens , Montessori Schools , Schools State Syllabus , Nursery Schools , English Medium Schools"
Euro Kids,"Divine Educational Trust, No.397, 8th Main,B Block,Aecs Layout, Singasandra, Bangalore - 560068",+(91)-80-33910664,,,4.0,"Schools , Kindergartens , Nursery Schools"
Little Millennium,"No.65, Shooting Bungalow, Hessarghatta Main Road, Bangalore - 560073, Near Widia School Bus Stop",+(91)-80-33618632,http://www.littlemillennium.com,2012,4.6,"Schools , Summer Camps , Kindergartens , Montessori Schools , International Schools , Montessori Teachers Training Institutes , Nursery Schools , Montessori International"
New Baldwin International School,"No.32/4, Maragondahalli Main Road,Tc Palya,Anandapura, Krishnarajapuram, Bangalore - 560036",+(91)-80-33568295,http://www.newbaldwininstitutions.org,2015,4.0,"Schools , ICSE Schools , International Schools , Public Schools , Nursery Schools , English Medium Schools"
Podar Jumbo Kids,"No.667, 9th Main, Hsr Layout Sector 7, Bangalore - 560068, Near New Larence School",+(91)-80-33910614,http://www.podarthappykids.com,2011,3.0,"Schools , Kindergartens , Montessori Schools , International Schools , Playgroups , Nursery Schools"
