Udgam School For Children,"Thaltej, Ahmedabad - 380054, Near Doordarshan Kendra, Opposite Sardar Patel Institute","+(91)-79-26850339 , +(91)-9925153153 , 9909915522 , 26850336",http://www.udgamschool.com,,4.1,"Schools , CBSE Schools , English Medium Schools"
St Kabir School,"Drive In Road, Ahmedabad - 380052, Near Goyal Intercity, Opposite Aditya Bunglows","+(91)-79-26858695 , 26855995",http://www.stkabir.com,,4.0,"CBSE Schools , Schools , English Medium Schools , Kindergartens , Nursery Schools"
Sheth C N Vidyalaya,"C N Vidyalaya, Doctor Vikram Sarabhai Road, Ambawadi, Ahmedabad - 380006","+(91)-79-26463696 , 26463511 , 26463566 , 26420637 , 26441473",http://www.cnvidyavihar.org,,4.2,"Schools , Computer Training Institutes , Institutes , Gujarati Medium Schools , Gseb Schools , Kindergartens , Fine Art Institutes , Technical Institutes , Computer Training Institutes For Doeacc"
H B Kapadia New High School,"Gurukul Road, Memnagar, Ahmedabad - 380052, Near Vishramnagar Road, Opposite Tirthnagar Part 1, Near...","+(91)-79-27414142 , +(91)-9558637777 , 9909222666 , 9537292999 , 27414140",http://www.hbkapadia.com,,4.1,"Schools , Playgroups , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Hiramani School,"Hiramani School Campus, S G Highway, Gota Road, Ahmedabad - 382481, Opposite Nirma University","+(91)-79-242505 , 242606 , 241164 , 241186 , 241124 , 241125",http://www.hiramanischools.org,,4.1,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools , Hostel For Students , Nursery Schools , Kindergartens , Computer Training Diploma O Level"
Nirma Vidyavihar,"Plot No 390, Bodakdev, Ahmedabad - 380054, Beside Galaxy Tower, Near Grand Bhagwati Hotel","+(91)-79-26858901 , 26858902 , 65102000 , 65103000",http://www.nirmavidyavihar.co.in,,3.9,"CBSE Schools , Schools , English Medium Schools , Kindergartens"
Maharaja Agrasen Vidyalaya,"Memnagar, Ahmedabad - 380052, Opposite Gurukul, Near Sterling Hospital, Veer Savarkar Chowk","+(91)-79-27437440 , 27455271",http://www.agrasenvidyalaya.com,,4.0,"Schools , CBSE Schools , English Medium Schools , Kindergartens"
Shreyas Foundation,"Shreyas Tekra, Ambawadi, Ahmedabad - 380006, Near Manekbaug Hall, Near Shreyas Railway Over Bridge","+(91)-79-26601338 , 26601378 , 26601588",http://www.shreyasfoundation.in,,4.1,"Schools , English Medium Schools , Playgroups , Gujarati Medium Schools , Gseb Schools , Nursery Schools , Kindergartens"
Zydus School For Excellence,"Zydus Cadila School, Vejalpur, Ahmedabad - 380051, Near Alka Park Bus Stop, Jivraj Park","+(91)-79-26826799 , 26828294",http://www.zydusschool.org,,4.0,"Schools , English Medium Schools , ICSE Schools , Kindergartens"
DAV International School,"Off Pralahadnagar Corporate Road, Sarkhej Gandhinagar Highway, Ahmedabad - 380055, Ahead Of Vodafone...","+(91)-79-39815555 , 65432006",http://www.davahmedabad.net,,4.0,"CBSE Schools , Schools , Playgroups , English Medium Schools , Kindergartens , Nursery Schools"
Diwan Ballubhai School,"Paldi, Ahmedabad - 380007, Opposite Sanskar Kendra, Near Nid",+(91)-79-26587175,http://www.diwanballubhai.org,,4.1,"Schools , Gujarati Medium Schools , Gseb Schools"
Nirman High School,"Vastrapur, Ahmedabad - 380015, Near Vastrapur Lake, Opposite Shabri Apartments, Behind Indraprasth B...","+(91)-79-40027581 , 40027582",,,3.8,"Schools , CBSE Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Sgvp International School,"Sharkhej Gandhinagar Highway, Gota Road, Ahmedabad - 382481, Near Sgvp Circle, Chharodi","+(91)-79-242138 , +(91)-9979880371 , 9879208511 , 242139",http://www.sgvp.org,,4.1,"Schools , English Medium Schools , Boarding Schools , ICSE Schools , International Schools , Kindergartens"
Ahmedabad International School,"Judges Bungalow Road, Bodakdev, Ahmedabad - 380054, Behind Kiran Motors, Opposite Rajpath Row House","+(91)-79-26872459 , 26871623",http://www.aischool.net,,4.2,"Schools , English Medium Schools , Kindergartens , Gseb Schools , IGCSE Schools"
Mount Carmel High School,"Shreyas Colony, Law Garden Road, Navrangpura, Ahmedabad - 380009",+(91)-79-26588360,http://www.mountcarmelahmedabad.com,,4.3,"Schools , English Medium Schools , Gseb Schools , Convent Schools"
